Gen,withF2_atF2_F2Parents,withF2_atF5_F2Parents,withF2_atF2_F5Parents,withF2_atF5_F5Parents,withF5_atF2_F2Parents,withF5_atF5_F2Parents,withF5_atF2_F5Parents,withF5_atF5_F5Parents,withF2_and_F5_atF2_F2Parents,withF2_and_F5_atF5_F2Parents,withF2_and_F5_atF2_F5Parents,withF2_and_F5_atF5_F5Parents
NewParents,0.337892757,-0.049266979,0.109582816,-0.155158313,-0.045670841,0.526776733,-0.002506043,0.620028562,0.228806919,-0.088480915,0.182035771,-0.006679512
F2,0.03814116,0.034352278,0.036203005,-0.063204947,-0.030171488,0.100394691,-0.126053188,0.288908036,0.209131778,0.053588237,-0.339964382,0.024895263
F3,0.017382928,0.021815477,0.094108675,-0.007176513,-0.02538426,0.061789177,0.076284479,0.126695009,0.149544581,0.044424634,-0.200368851,-0.00140453
F4,-0.079629033,-0.009578198,0.075410537,-0.067530626,-0.034187304,0.049482871,0.168245008,0.172730029,0.183897115,0.016424969,-0.20382279,-0.007835905
F5,-0.078081333,-0.013173447,-0.03097757,-0.099365668,0.009661963,0.034150644,0.048981004,0.168893357,0.085738873,-0.084413921,-0.002529416,0.046091536
PYT,-0.041370031,0.022818858,-0.171701453,-0.036196987,-0.018208052,0.051787871,0.135694475,0.067995076,0.045780128,0.027239076,-0.062191745,-0.070223135
AYT,0.01397452,0.041806132,-0.135592386,0.015272216,-0.019013658,0.048956616,0.001246642,0.044289984,0.052375798,0.02283438,0.0409179,-0.050328654
NewParents,0.03814116,0.034352278,0.036203005,-0.063204947,-0.030171488,0.100394691,-0.126053188,0.288908036,0.209131778,0.053588237,-0.339964382,0.024895263
F2,0.114049214,0.047205147,0.018556402,0.034911738,0.036463582,0.033363288,0.087942822,0.080833917,0.227921555,-0.016365725,0.387183451,-0.101349215
F3,0.066753357,0.006001534,-0.024783942,0.014417794,0.001624991,0.02998375,-0.009146275,0.110219646,0.097994785,-0.022826691,0.183105244,0.003453847
F4,-0.015981121,0.033669648,-0.041356994,0.042047029,0.032676956,-0.016237073,-0.02679843,0.135421403,0.085173913,-0.005247892,0.153040149,0.020686537
F5,0.02924267,0.143077602,-0.0548336,-0.117648248,0.059594677,0.050377372,-0.044249006,-0.047479769,0.055581302,0.108665257,0.062290248,0.036300601
PYT,-0.126253672,0.132307137,0.111030485,-0.039203412,-0.017732813,0.02613484,-0.096344623,-0.097177633,0.085791124,0.013543942,0.02085219,0.019902398
AYT,-0.06165093,0.108032728,-0.012585313,0.079889169,-0.077378252,0.070526861,-0.035483082,-0.022114724,0.061838213,0.116209564,0.069477911,-0.009496007
NewParents,0.114049214,0.047205147,0.018556402,0.034911738,0.036463582,0.033363288,0.087942822,0.080833917,0.227921555,-0.016365725,0.387183451,-0.101349215
F2,0.182522084,0.099667659,-0.060380326,-0.015379592,0.03305728,0.027322893,-0.106596725,-0.0377856,0.08022826,0.062697448,0.308173528,0.033715898
F3,0.098587736,0.086606536,-0.061288291,0.049538609,-0.009397284,0.031203158,0.092527475,-0.061149764,0.098186077,0.016658798,0.189972442,0.026217406
F4,0.188951843,0.106337474,-0.104527322,0.063845011,-0.026135424,0.014701166,0.115792363,-0.038428007,0.121326197,0.004841975,0.152270275,0.05965548
F5,0.063831071,0.023595472,-0.033258231,-0.064797878,0.079421965,0.077059556,0.041431263,0.083523027,0.112596823,0.240342325,0.06587602,0.118509837
PYT,0.039318935,0.100777425,-0.023099388,-0.076810474,0.02520093,0.122359518,0.099403727,-0.007441451,0.098225697,0.30494602,0.073733308,0.000336974
AYT,0.143862919,0.012050788,-0.052652909,-0.170387419,0.018669217,-0.033731146,0.062292002,0.169486987,0.154944523,0.140009404,0.061820459,0.034612267